# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40001314E+00   0.11109204E-08   0.24743309E-12   0.82958792E-02   0.16428072E-21   0.78555200E+00   0.53929449E-02   0.20075918E+00   0.90113845E-12   0.13288676E-12   0.23126911E-19   0.00000000E+00   0.52481127E-24   0.00000000E+00   0.11499189E-08   0.00000000E+00   0.36590298E-13   0.27267150E-14   0.13199299E-14   0.15965845E-14   0.00000000E+00   0.42957063E+03   0.81186932E+03   0.19459830E+00   0.24196582E+05   0.54314421E+06   0.75078293E-05  -0.31339522E-02   0.83399588E+02
  0.40001447E+00   0.11434321E-08   0.25788029E-12   0.83592612E-02   0.58298020E-21   0.78550514E+00   0.54315864E-02   0.20070401E+00   0.97476320E-12   0.14157668E-12   0.26354881E-19   0.00000000E+00   0.35618283E-24   0.00000000E+00   0.11760083E-08   0.00000000E+00   0.30508149E-13   0.16514658E-14   0.14131344E-14   0.17109089E-14   0.00000000E+00   0.44118193E+03   0.82408773E+03   0.18945823E+00   0.24194981E+05   0.55672810E+06   0.89138549E-05  -0.37708871E-02   0.90400903E+02
  0.40001583E+00   0.11754815E-08   0.26943337E-12   0.84232128E-02   0.17987910E-20   0.78545814E+00   0.54703974E-02   0.20064825E+00   0.10482556E-11   0.15006831E-12   0.28598078E-19   0.00000000E+00   0.38352422E-24   0.00000000E+00   0.12026580E-08   0.00000000E+00   0.25291551E-13   0.86161728E-15   0.14948629E-14   0.18118794E-14   0.00000000E+00   0.45284446E+03   0.83604103E+03   0.18458170E+00   0.24196112E+05   0.57037595E+06   0.10472689E-04  -0.44885943E-02   0.97428972E+02
  0.40001723E+00   0.12071017E-08   0.28223161E-12   0.84877586E-02   0.52020998E-20   0.78541096E+00   0.55094102E-02   0.20059187E+00   0.11215548E-11   0.15836461E-12   0.30063484E-19   0.57878347E-22   0.97347730E-24   0.00000000E+00   0.12298582E-08   0.00000000E+00   0.20846387E-13   0.31785589E-15   0.15693892E-14   0.19041023E-14   0.00000000E+00   0.46456703E+03   0.84776213E+03   0.17990802E+00   0.24194729E+05   0.58409809E+06   0.12166226E-04  -0.52816092E-02   0.10448870E+03
  0.40001866E+00   0.12383565E-08   0.29644217E-12   0.85529168E-02   0.13275761E-19   0.78536356E+00   0.55486515E-02   0.20053487E+00   0.11946030E-11   0.16646650E-12   0.29202733E-19   0.73462474E-22   0.21978606E-23   0.00000000E+00   0.12575602E-08   0.00000000E+00   0.17085064E-13   0.17620385E-16   0.16389118E-14   0.19900537E-14   0.00000000E+00   0.47635696E+03   0.85927894E+03   0.17545681E+00   0.24195727E+05   0.59790307E+06   0.14025458E-04  -0.61656404E-02   0.11158411E+03
  0.40002012E+00   0.12692879E-08   0.31225962E-12   0.86186752E-02   0.28433835E-19   0.78531594E+00   0.55881299E-02   0.20047725E+00   0.12673592E-11   0.17436983E-12   0.25048676E-19   0.25415166E-21   0.46069907E-23   0.00000000E+00   0.12856946E-08   0.24065650E-22   0.13923974E-13   0.00000000E+00   0.17046848E-14   0.20711940E-14   0.00000000E+00   0.48821685E+03   0.87061200E+03   0.17118036E+00   0.24194512E+05   0.61179411E+06   0.16027834E-04  -0.71332073E-02   0.11871637E+03
  0.40002163E+00   0.13000059E-08   0.32991601E-12   0.86850230E-02   0.49151814E-19   0.78526811E+00   0.56278538E-02   0.20041901E+00   0.13397808E-11   0.18207031E-12   0.18073838E-19   0.19679302E-21   0.93788903E-23   0.00000000E+00   0.13141300E-08   0.16466122E-22   0.11265732E-13   0.00000000E+00   0.17669601E-14   0.21479083E-14   0.00000000E+00   0.50014918E+03   0.88177972E+03   0.16709699E+00   0.24195395E+05   0.62577401E+06   0.18209766E-04  -0.82028847E-02   0.12588661E+03
  0.40002317E+00   0.13305794E-08   0.34969779E-12   0.87519857E-02   0.69507582E-19   0.78522003E+00   0.56678492E-02   0.20036013E+00   0.14118074E-11   0.18956720E-12   0.11078610E-19   0.54597425E-22   0.18945097E-22   0.14988337E-21   0.13428329E-08   0.00000000E+00   0.90287811E-14   0.00000000E+00   0.18263954E-14   0.22209848E-14   0.00000000E+00   0.51216102E+03   0.89280286E+03   0.16316535E+00   0.24194325E+05   0.63985086E+06   0.20543837E-04  -0.93649659E-02   0.13309870E+03
  0.40002475E+00   0.13610833E-08   0.37194693E-12   0.88195921E-02   0.86108860E-19   0.78517167E+00   0.57081429E-02   0.20030060E+00   0.14833774E-11   0.19685964E-12   0.61737962E-20   0.27433051E-22   0.38193650E-22   0.10877315E-21   0.13717696E-08   0.00000000E+00   0.71462740E-14   0.00000000E+00   0.18833864E-14   0.22909211E-14   0.00000000E+00   0.52425939E+03   0.90370037E+03   0.15939981E+00   0.24195117E+05   0.65403300E+06   0.23072242E-04  -0.10641266E-01   0.14035651E+03
  0.40002636E+00   0.13915432E-08   0.39705919E-12   0.88878358E-02   0.98080584E-19   0.78512302E+00   0.57487422E-02   0.20024040E+00   0.15544440E-11   0.20394260E-12   0.32829601E-20   0.00000000E+00   0.82729550E-22   0.61615745E-22   0.14009056E-08   0.00000000E+00   0.55647829E-14   0.00000000E+00   0.19383151E-14   0.23581758E-14   0.39973708E-20   0.53644640E+03   0.91448526E+03   0.15576710E+00   0.24194162E+05   0.66832295E+06   0.25762742E-04  -0.12019731E-01   0.14766094E+03
  0.40002802E+00   0.14219789E-08   0.42550277E-12   0.89567108E-02   0.10787663E-18   0.78507409E+00   0.57896539E-02   0.20017955E+00   0.16249601E-11   0.21081121E-12   0.17418381E-20   0.24952589E-21   0.37685681E-20   0.26791865E-22   0.14302128E-08   0.99343381E-23   0.42404581E-14   0.00000000E+00   0.19914894E-14   0.24231212E-14   0.00000000E+00   0.54872403E+03   0.92516942E+03   0.15228106E+00   0.24194871E+05   0.68272311E+06   0.28663241E-04  -0.13525427E-01   0.15501282E+03
  0.40002972E+00   0.14524209E-08   0.45784399E-12   0.90262397E-02   0.11636919E-18   0.78502484E+00   0.58308990E-02   0.20011802E+00   0.16948686E-11   0.21746307E-12   0.93617975E-21   0.31259076E-21   0.41595120E-20   0.11534855E-22   0.14596927E-08   0.19323930E-22   0.31371365E-14   0.00000000E+00   0.20432364E-14   0.24861488E-14   0.24530585E-20   0.56109780E+03   0.93576689E+03   0.14891240E+00   0.24194017E+05   0.69724010E+06   0.31736732E-04  -0.15143961E-01   0.16241511E+03
  0.40003147E+00   0.14829036E-08   0.49475697E-12   0.90964507E-02   0.12380462E-18   0.78497526E+00   0.58725006E-02   0.20005578E+00   0.17641112E-11   0.22389627E-12   0.51138464E-21   0.13913895E-21   0.22226611E-20   0.49049854E-23   0.14893506E-08   0.14599073E-22   0.22255337E-14   0.00000000E+00   0.20938045E-14   0.25475625E-14   0.00000000E+00   0.57357370E+03   0.94629122E+03   0.14567214E+00   0.24194661E+05   0.71188116E+06   0.35036918E-04  -0.16903938E-01   0.16987103E+03
  0.40003325E+00   0.15134382E-08   0.53702767E-12   0.91673444E-02   0.13124677E-18   0.78492534E+00   0.59144670E-02   0.19999285E+00   0.18326379E-11   0.23010630E-12   0.28676517E-21   0.10069960E-21   0.22336347E-21   0.20535010E-23   0.15191747E-08   0.12378492E-22   0.14828705E-14   0.00000000E+00   0.21433651E-14   0.26075746E-14   0.73785196E-22   0.58615395E+03   0.95675195E+03   0.14253607E+00   0.24193890E+05   0.72664906E+06   0.38521693E-04  -0.18788325E-01   0.17738155E+03
  0.40003508E+00   0.15440346E-08   0.58558366E-12   0.92389179E-02   0.13875215E-18   0.78487507E+00   0.59568044E-02   0.19992920E+00   0.19004003E-11   0.23608872E-12   0.16436854E-21   0.39967380E-21   0.28435579E-21   0.84222554E-24   0.15491494E-08   0.12759465E-22   0.89179141E-15   0.00000000E+00   0.21920321E-14   0.26663319E-14   0.55958728E-21   0.59884026E+03   0.96715761E+03   0.13951483E+00   0.24194472E+05   0.74154597E+06   0.42250827E-04  -0.20829418E-01   0.18494735E+03
  0.40003696E+00   0.15747200E-08   0.64154160E-12   0.93111941E-02   0.14687051E-18   0.78482444E+00   0.59995316E-02   0.19986484E+00   0.19673441E-11   0.24184100E-12   0.97223280E-22   0.11310211E-20   0.18391436E-19   0.33591857E-24   0.15792775E-08   0.00000000E+00   0.44041774E-15   0.00000000E+00   0.22399261E-14   0.27239894E-14   0.14877556E-20   0.61163748E+03   0.97751884E+03   0.13658690E+00   0.24193775E+05   0.75657784E+06   0.46177440E-04  -0.23007688E-01   0.19257095E+03
  0.40003889E+00   0.16055198E-08   0.70623097E-12   0.93842004E-02   0.15382232E-18   0.78477341E+00   0.60426693E-02   0.19979972E+00   0.20334151E-11   0.24736107E-12   0.58420947E-22   0.97085300E-21   0.40978103E-20   0.12864477E-24   0.16095694E-08   0.12756941E-22   0.12572652E-15   0.00000000E+00   0.22871782E-14   0.27807088E-14   0.18996719E-20   0.62455083E+03   0.98784612E+03   0.13376084E+00   0.24194308E+05   0.77175112E+06   0.50367186E-04  -0.25359310E-01   0.20025509E+03
  0.40004086E+00   0.16364308E-08   0.78121056E-12   0.94579387E-02   0.16164051E-18   0.78472199E+00   0.60862249E-02   0.19973384E+00   0.20985644E-11   0.25264516E-12   0.36062707E-22   0.14456361E-20   0.13456694E-19   0.46206367E-25   0.16400280E-08   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.23339365E-14   0.28366637E-14   0.16319593E-20   0.63758224E+03   0.99814675E+03   0.13101865E+00   0.24193672E+05   0.78706834E+06   0.54768135E-04  -0.27861968E-01   0.20800056E+03
  0.40004288E+00   0.16674526E-08   0.86832788E-12   0.95324096E-02   0.17023836E-18   0.78467017E+00   0.61302050E-02   0.19966721E+00   0.21627443E-11   0.25768979E-12   0.22822757E-22   0.19771961E-20   0.16069089E-19   0.14762123E-25   0.16706505E-08   0.00000000E+00   0.00000000E+00   0.27952371E-22   0.23802933E-14   0.28919671E-14   0.21251416E-20   0.65073338E+03   0.10084276E+04   0.12836858E+00   0.24194158E+05   0.80253176E+06   0.59452023E-04  -0.30555816E-01   0.21580799E+03
