# HEGEL:: NS_NLTE convergence file - L2 norm of global residual
# nb_it  L2_glob_res
# 0   0.480639E+00   0.480785E+00   0.366929E+01  -0.912218E+00
       1   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
       2   0.425276E-02   0.438811E-02  -0.733957E-03  -0.863324E-01
       3   0.987711E-02   0.101528E-01   0.268524E-03  -0.104635E+00
       4   0.164514E-01   0.168744E-01   0.239326E-02  -0.104360E+00
       5   0.237693E-01   0.243495E-01   0.535889E-02  -0.955497E-01
       6   0.317096E-01   0.324551E-01   0.900903E-02  -0.832472E-01
       7   0.401965E-01   0.411188E-01   0.132498E-01  -0.689700E-01
       8   0.491797E-01   0.502885E-01   0.180229E-01  -0.533763E-01
       9   0.586087E-01   0.599146E-01   0.232755E-01  -0.368893E-01
      10   0.684445E-01   0.699609E-01   0.289724E-01  -0.197626E-01
      11   0.786535E-01   0.803923E-01   0.350870E-01  -0.216267E-02
      12   0.892064E-01   0.911814E-01   0.415994E-01   0.157994E-01
      13   0.100081E+00   0.102307E+00   0.484979E-01   0.340509E-01
      14   0.111246E+00   0.113740E+00   0.557607E-01   0.525254E-01
      15   0.122674E+00   0.125452E+00   0.633690E-01   0.711637E-01
      16   0.134336E+00   0.137417E+00   0.713046E-01   0.899204E-01
      17   0.146208E+00   0.149611E+00   0.795510E-01   0.108754E+00
      18   0.158270E+00   0.162014E+00   0.880971E-01   0.127630E+00
      19   0.170496E+00   0.174604E+00   0.969228E-01   0.146516E+00
      20   0.182860E+00   0.187355E+00   0.106010E+00   0.165378E+00
      21   0.195341E+00   0.200247E+00   0.115343E+00   0.184191E+00
      22   0.207918E+00   0.213260E+00   0.124905E+00   0.202928E+00
      23   0.220572E+00   0.226378E+00   0.134685E+00   0.221564E+00
      24   0.233280E+00   0.239581E+00   0.144663E+00   0.240075E+00
      25   0.246021E+00   0.252849E+00   0.154820E+00   0.258437E+00
      26   0.258775E+00   0.266164E+00   0.165140E+00   0.276629E+00
      27   0.271523E+00   0.279510E+00   0.175608E+00   0.294630E+00
      28   0.284248E+00   0.292872E+00   0.186206E+00   0.312418E+00
      29   0.296928E+00   0.306234E+00   0.196914E+00   0.329979E+00
      30   0.309544E+00   0.319577E+00   0.207713E+00   0.347293E+00
      31   0.322080E+00   0.332888E+00   0.218585E+00   0.364344E+00
      32   0.334520E+00   0.346156E+00   0.229514E+00   0.381117E+00
      33   0.346846E+00   0.359363E+00   0.240479E+00   0.397600E+00
      34   0.359043E+00   0.372497E+00   0.251460E+00   0.413776E+00
      35   0.371093E+00   0.385545E+00   0.262437E+00   0.429645E+00
      36   0.382987E+00   0.398498E+00   0.273395E+00   0.445192E+00
      37   0.394709E+00   0.411343E+00   0.284315E+00   0.460412E+00
      38   0.406247E+00   0.424068E+00   0.295177E+00   0.475291E+00
      39   0.417590E+00   0.436664E+00   0.305963E+00   0.489839E+00
      40   0.428728E+00   0.449122E+00   0.316659E+00   0.504044E+00
      41   0.439653E+00   0.461432E+00   0.327248E+00   0.517900E+00
      42   0.450356E+00   0.473587E+00   0.337714E+00   0.531417E+00
      43   0.460829E+00   0.485578E+00   0.348043E+00   0.544589E+00
      44   0.471067E+00   0.497399E+00   0.358221E+00   0.557417E+00
      45   0.481065E+00   0.509040E+00   0.368236E+00   0.569892E+00
      46   0.490817E+00   0.520499E+00   0.378076E+00   0.582035E+00
      47   0.500321E+00   0.531768E+00   0.387730E+00   0.593838E+00
      48   0.509573E+00   0.542841E+00   0.397189E+00   0.605303E+00
      49   0.518573E+00   0.553714E+00   0.406444E+00   0.616423E+00
      50   0.527316E+00   0.564383E+00   0.415487E+00   0.627223E+00
      51   0.535805E+00   0.574843E+00   0.424312E+00   0.637693E+00
      52   0.544037E+00   0.585092E+00   0.432912E+00   0.647838E+00
      53   0.552013E+00   0.595124E+00   0.441283E+00   0.657646E+00
      54   0.559733E+00   0.604940E+00   0.449419E+00   0.667149E+00
      55   0.567201E+00   0.614535E+00   0.457320E+00   0.676338E+00
      56   0.574416E+00   0.623909E+00   0.464979E+00   0.685213E+00
      57   0.581382E+00   0.633058E+00   0.472398E+00   0.693783E+00
      58   0.588099E+00   0.641982E+00   0.479574E+00   0.702035E+00
      59   0.594572E+00   0.650682E+00   0.486507E+00   0.710004E+00
      60   0.600804E+00   0.659157E+00   0.493198E+00   0.717679E+00
      61   0.606799E+00   0.667406E+00   0.499647E+00   0.725067E+00
      62   0.612561E+00   0.675429E+00   0.505857E+00   0.732172E+00
      63   0.618095E+00   0.683228E+00   0.511831E+00   0.739002E+00
      64   0.623405E+00   0.690802E+00   0.517570E+00   0.745562E+00
      65   0.628498E+00   0.698155E+00   0.523080E+00   0.751861E+00
      66   0.633378E+00   0.705287E+00   0.528365E+00   0.757905E+00
      67   0.638054E+00   0.712201E+00   0.533430E+00   0.763702E+00
      68   0.642529E+00   0.718897E+00   0.538280E+00   0.769259E+00
      69   0.646811E+00   0.725379E+00   0.542920E+00   0.774581E+00
      70   0.650910E+00   0.731648E+00   0.547360E+00   0.779685E+00
      71   0.654831E+00   0.737709E+00   0.551607E+00   0.784574E+00
      72   0.658581E+00   0.743563E+00   0.555667E+00   0.789255E+00
      73   0.662166E+00   0.749213E+00   0.559546E+00   0.793733E+00
      74   0.665596E+00   0.754663E+00   0.563254E+00   0.798022E+00
      75   0.668880E+00   0.759916E+00   0.566803E+00   0.802129E+00
      76   0.672025E+00   0.764975E+00   0.570200E+00   0.806062E+00
      77   0.675035E+00   0.769843E+00   0.573450E+00   0.809826E+00
      78   0.677918E+00   0.774524E+00   0.576564E+00   0.813427E+00
      79   0.680681E+00   0.779021E+00   0.579550E+00   0.816874E+00
      80   0.683339E+00   0.783337E+00   0.582424E+00   0.820181E+00
      81   0.685899E+00   0.787476E+00   0.585197E+00   0.823353E+00
      82   0.688362E+00   0.791441E+00   0.587874E+00   0.826392E+00
      83   0.690732E+00   0.795234E+00   0.590462E+00   0.829301E+00
      84   0.693002E+00   0.798861E+00   0.592957E+00   0.832016E+00
