# HEGEL:: NS surface quantity file for 'WALL' patch
# x [m]  r [m]  qn [W/m^2]  p [Pa]  T [K]  tau_xx [Pa]  tau_xy [Pa]  tau_yy [Pa]
 -0.25454521E+00   0.15874880E+00   0.51033796E+05   0.56777165E+04   0.30958370E+03  -0.13297430E+02  -0.67152256E+01   0.13402343E+02
 -0.25202029E+00   0.16272744E+00   0.50797062E+05   0.55508569E+04   0.30955139E+03  -0.13854524E+02  -0.64517354E+01   0.13959373E+02
 -0.24943319E+00   0.16666593E+00   0.50545085E+05   0.54231086E+04   0.30951671E+03  -0.14404710E+02  -0.61582950E+01   0.14509437E+02
 -0.24678454E+00   0.17056329E+00   0.50286293E+05   0.52946703E+04   0.30947966E+03  -0.14942108E+02  -0.58335707E+01   0.15046698E+02
 -0.24407501E+00   0.17441858E+00   0.50011407E+05   0.51657163E+04   0.30943978E+03  -0.15470233E+02  -0.54799689E+01   0.15574622E+02
 -0.24130525E+00   0.17823082E+00   0.49729682E+05   0.50364038E+04   0.30939702E+03  -0.15981953E+02  -0.50961474E+01   0.16086125E+02
 -0.23847595E+00   0.18199909E+00   0.49429125E+05   0.49068797E+04   0.30935058E+03  -0.16481237E+02  -0.46844564E+01   0.16585114E+02
 -0.23558781E+00   0.18572246E+00   0.49118873E+05   0.47772954E+04   0.30930021E+03  -0.16958064E+02  -0.42433958E+01   0.17061615E+02
 -0.23264155E+00   0.18940000E+00   0.48781515E+05   0.46478612E+04   0.30924451E+03  -0.17414365E+02  -0.37749359E+01   0.17517479E+02
 -0.22963788E+00   0.19303081E+00   0.48425883E+05   0.45191014E+04   0.30918324E+03  -0.17831452E+02  -0.32773046E+01   0.17934086E+02
 -0.22657756E+00   0.19661399E+00   0.48042190E+05   0.43920936E+04   0.30911745E+03  -0.18209103E+02  -0.27533778E+01   0.18311126E+02
 -0.22346132E+00   0.20014866E+00   0.47667052E+05   0.42677351E+04   0.30904814E+03  -0.18543392E+02  -0.22056992E+01   0.18644703E+02
 -0.22028996E+00   0.20363394E+00   0.47284079E+05   0.41458040E+04   0.30897749E+03  -0.18862871E+02  -0.16397628E+01   0.18963404E+02
 -0.21706424E+00   0.20706899E+00   0.46906590E+05   0.40254937E+04   0.30890519E+03  -0.19161898E+02  -0.10558883E+01   0.19261715E+02
 -0.21378496E+00   0.21045294E+00   0.46510742E+05   0.39063160E+04   0.30883038E+03  -0.19449852E+02  -0.45489537E+00   0.19548902E+02
