# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40001314E+00   0.11519409E-08   0.19332486E-12   0.47053836E-02   0.21270040E-21   0.78095582E+00   0.64911493E-02   0.19801628E+00   0.95836132E-02   0.24775050E-03   0.39949982E-19   0.27934750E-22   0.30777542E-21   0.61440578E-23   0.11787331E-08   0.14429104E-23   0.00000000E+00   0.17795307E-22   0.12391673E-14   0.14893354E-14   0.00000000E+00   0.42975205E+03   0.81014323E+03   0.19477375E+00   0.24196342E+05   0.47433409E+06   0.43837005E-05  -0.18286538E-02   0.83410773E+02
  0.40001447E+00   0.11842396E-08   0.20328330E-12   0.47856147E-02   0.74197964E-21   0.78092599E+00   0.65277336E-02   0.19796711E+00   0.95458346E-02   0.24771378E-03   0.45872446E-19   0.92444893E-23   0.37068200E-22   0.54556866E-23   0.12047983E-08   0.16601688E-23   0.00000000E+00   0.23093363E-22   0.13658731E-14   0.16430746E-14   0.00000000E+00   0.44134154E+03   0.82261796E+03   0.18963933E+00   0.24194740E+05   0.48820251E+06   0.58212420E-05  -0.24609053E-02   0.90424210E+02
  0.40001583E+00   0.12158716E-08   0.21357639E-12   0.48662244E-02   0.23499849E-20   0.78089636E+00   0.65644655E-02   0.19791762E+00   0.95077278E-02   0.24759954E-03   0.50301862E-19   0.11259075E-22   0.20524554E-24   0.13294521E-22   0.12316125E-08   0.95609179E-24   0.00000000E+00   0.83193389E-23   0.14717276E-14   0.17731125E-14   0.00000000E+00   0.45298641E+03   0.83481431E+03   0.18476598E+00   0.24195881E+05   0.50213980E+06   0.74147273E-05  -0.31757030E-02   0.97465414E+02
  0.40001723E+00   0.12468360E-08   0.22435921E-12   0.49472679E-02   0.67254136E-20   0.78086687E+00   0.66013730E-02   0.19786779E+00   0.94692876E-02   0.24741463E-03   0.52240354E-19   0.44926752E-23   0.25866449E-22   0.71237564E-23   0.12591903E-08   0.93849381E-24   0.47809866E-20   0.32023583E-23   0.15654374E-14   0.18887350E-14   0.00000000E+00   0.46469503E+03   0.84676670E+03   0.18009332E+00   0.24194493E+05   0.51615605E+06   0.91490786E-05  -0.39689335E-02   0.10453917E+03
  0.40001866E+00   0.12771672E-08   0.23579378E-12   0.50287889E-02   0.16764097E-19   0.78083747E+00   0.66384790E-02   0.19781758E+00   0.94305076E-02   0.24716495E-03   0.49464381E-19   0.40276526E-23   0.00000000E+00   0.44641946E-23   0.12875024E-08   0.00000000E+00   0.00000000E+00   0.17487488E-23   0.16514687E-14   0.19948838E-14   0.00000000E+00   0.47647429E+03   0.85850422E+03   0.17564165E+00   0.24195502E+05   0.53025951E+06   0.11052168E-04  -0.48550092E-02   0.11164933E+03
  0.40002012E+00   0.13073910E-08   0.24805132E-12   0.51107909E-02   0.34488068E-19   0.78080818E+00   0.66757903E-02   0.19776701E+00   0.93913719E-02   0.24685568E-03   0.40330988E-19   0.15057463E-22   0.00000000E+00   0.43179548E-23   0.13159955E-08   0.00000000E+00   0.00000000E+00   0.48866713E-23   0.17282210E-14   0.20901387E-14   0.00000000E+00   0.48832660E+03   0.87004844E+03   0.17136330E+00   0.24194281E+05   0.54445312E+06   0.13103898E-04  -0.58275907E-02   0.11879705E+03
  0.40002163E+00   0.13375135E-08   0.26132250E-12   0.51932775E-02   0.56851168E-19   0.78077900E+00   0.67133133E-02   0.19771605E+00   0.93518658E-02   0.24649138E-03   0.27433014E-19   0.17817187E-22   0.00000000E+00   0.71829680E-23   0.13446557E-08   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.17982376E-14   0.21772658E-14   0.00000000E+00   0.50025433E+03   0.88141876E+03   0.16727706E+00   0.24195174E+05   0.55874020E+06   0.15337997E-04  -0.69041142E-02   0.12598345E+03
  0.40002317E+00   0.13675496E-08   0.27583087E-12   0.52762952E-02   0.77506245E-19   0.78074988E+00   0.67510709E-02   0.19766469E+00   0.93119836E-02   0.24607587E-03   0.16025008E-19   0.12991532E-22   0.00000000E+00   0.22015902E-22   0.13735100E-08   0.00000000E+00   0.54566446E-21   0.48435959E-23   0.18634082E-14   0.22583661E-14   0.00000000E+00   0.51226425E+03   0.89263674E+03   0.16334158E+00   0.24194097E+05   0.57312836E+06   0.17729340E-04  -0.80759591E-02   0.13321231E+03
  0.40002475E+00   0.13975589E-08   0.29183480E-12   0.53598921E-02   0.93382028E-19   0.78072079E+00   0.67890858E-02   0.19761289E+00   0.92717213E-02   0.24561243E-03   0.85821962E-20   0.13644403E-22   0.00000000E+00   0.58987651E-23   0.14025430E-08   0.61424636E-24   0.00000000E+00   0.30054738E-23   0.19247122E-14   0.23345832E-14   0.00000000E+00   0.52436310E+03   0.90372190E+03   0.15957167E+00   0.24194898E+05   0.58762578E+06   0.20317778E-04  -0.93639156E-02   0.14048739E+03
  0.40002636E+00   0.14275987E-08   0.30962786E-12   0.54440719E-02   0.10524252E-18   0.78069173E+00   0.68273637E-02   0.19756066E+00   0.92310661E-02   0.24510412E-03   0.44486203E-20   0.26131485E-22   0.00000000E+00   0.13881037E-23   0.14316925E-08   0.00000000E+00   0.00000000E+00   0.36819429E-23   0.19825885E-14   0.24064672E-14   0.00000000E+00   0.53655287E+03   0.91468782E+03   0.15593397E+00   0.24193937E+05   0.60223494E+06   0.23072890E-04  -0.10756829E-01   0.14780958E+03
