# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40001314E+00   0.28063853E-09   0.47236919E-12   0.11427690E-02   0.78568839E-23   0.79184128E+00   0.71923798E-03   0.20629672E+00   0.82457135E-14   0.42165171E-14   0.16061186E-19   0.12166681E-21   0.10953484E-20   0.46284356E-23   0.31968377E-09   0.25563604E-24   0.31543835E-22   0.00000000E+00   0.51375381E-15   0.60926418E-15   0.15233275E-22   0.42872634E+03   0.84542304E+03   0.19564562E+00   0.24195862E+05   0.46890001E+06   0.81002720E-05  -0.33707572E-02   0.83716195E+02
  0.40001447E+00   0.31445088E-09   0.51495417E-12   0.12380241E-02   0.28535573E-22   0.79176944E+00   0.77963449E-03   0.20621290E+00   0.86784483E-14   0.44107908E-14   0.19225552E-19   0.00000000E+00   0.25480565E-23   0.12950303E-23   0.34732264E-09   0.00000000E+00   0.19963083E-22   0.15786573E-24   0.57040826E-15   0.67576996E-15   0.14891475E-22   0.44023183E+03   0.85820203E+03   0.19051086E+00   0.24194266E+05   0.48285502E+06   0.95968941E-05  -0.40468938E-02   0.90757986E+02
  0.40001583E+00   0.34820015E-09   0.55926351E-12   0.13335443E-02   0.97693105E-22   0.79169746E+00   0.84026446E-03   0.20612873E+00   0.91042790E-14   0.45999558E-14   0.22282602E-19   0.14662825E-23   0.14713009E-23   0.21286578E-23   0.37589408E-09   0.22418222E-24   0.25333208E-22   0.64884730E-24   0.62873991E-15   0.74419850E-15   0.15948133E-22   0.45179509E+03   0.87071666E+03   0.18563493E+00   0.24195411E+05   0.49687864E+06   0.11252791E-04  -0.48072203E-02   0.97827532E+02
  0.40001723E+00   0.38182001E-09   0.60559896E-12   0.14294065E-02   0.30980797E-21   0.79162529E+00   0.90117414E-03   0.20604413E+00   0.95241927E-14   0.47847273E-14   0.25120681E-19   0.15400641E-23   0.74961514E-24   0.10694901E-23   0.40526454E-09   0.58399124E-24   0.23721695E-22   0.69531092E-24   0.68801540E-15   0.81367979E-15   0.18589385E-22   0.46342434E+03   0.88299878E+03   0.18095764E+00   0.24194027E+05   0.51098135E+06   0.13047770E-04  -0.56454870E-02   0.10492962E+03
  0.40001866E+00   0.41530678E-09   0.65428931E-12   0.15256796E-02   0.89948190E-21   0.79155286E+00   0.96240488E-03   0.20595905E+00   0.99390179E-14   0.49656981E-14   0.27158205E-19   0.73201736E-24   0.37826417E-24   0.85114563E-25   0.43530150E-09   0.00000000E+00   0.86857095E-23   0.11299172E-23   0.74754424E-15   0.88342601E-15   0.26078480E-22   0.47512689E+03   0.89507586E+03   0.17649957E+00   0.24195041E+05   0.52517155E+06   0.15014980E-04  -0.65783655E-02   0.11206849E+03
  0.40002012E+00   0.44866366E-09   0.70567380E-12   0.16223771E-02   0.23287256E-20   0.79148018E+00   0.10239669E-02   0.20587348E+00   0.10349567E-13   0.51432763E-14   0.27322093E-19   0.73305532E-23   0.18409800E-24   0.00000000E+00   0.46586158E-09   0.12451005E-24   0.19336031E-22   0.10609246E-23   0.80680854E-15   0.95283679E-15   0.32008393E-22   0.48690501E+03   0.90696715E+03   0.17221316E+00   0.24193821E+05   0.53945207E+06   0.17129198E-04  -0.75973197E-02   0.11924524E+03
  0.40002163E+00   0.48190726E-09   0.76012814E-12   0.17195107E-02   0.51590617E-20   0.79140723E+00   0.10858695E-02   0.20578739E+00   0.10756538E-13   0.53178102E-14   0.24480921E-19   0.48876033E-23   0.76023201E-25   0.00000000E+00   0.49682728E-09   0.21390292E-24   0.14195753E-22   0.77894757E-24   0.86555348E-15   0.10216074E-14   0.30764827E-22   0.49876082E+03   0.91868979E+03   0.16811771E+00   0.24194719E+05   0.55382552E+06   0.19429374E-04  -0.87220606E-02   0.12646089E+03
  0.40002317E+00   0.51508040E-09   0.81809621E-12   0.18171374E-02   0.94585029E-20   0.79133397E+00   0.11481472E-02   0.20570075E+00   0.11160461E-13   0.54896794E-14   0.18863354E-19   0.11911685E-22   0.29361570E-26   0.00000000E+00   0.52813376E-09   0.52677743E-24   0.22231273E-22   0.12512601E-23   0.92375707E-15   0.10897017E-14   0.38197168E-22   0.51070056E+03   0.93026325E+03   0.16417201E+00   0.24193642E+05   0.56829967E+06   0.21885330E-04  -0.99417609E-02   0.13371896E+03
  0.40002475E+00   0.54823124E-09   0.88007971E-12   0.19153212E-02   0.14465987E-19   0.79126034E+00   0.12108383E-02   0.20561349E+00   0.11561778E-13   0.56592316E-14   0.12558285E-19   0.18642352E-22   0.95365505E-22   0.13981838E-23   0.55973947E-09   0.00000000E+00   0.19406892E-22   0.11195277E-23   0.98141766E-15   0.11571180E-14   0.41931708E-22   0.52273100E+03   0.94170597E+03   0.16039120E+00   0.24194449E+05   0.58288311E+06   0.24542093E-04  -0.11279524E-01   0.14102327E+03
  0.40002636E+00   0.58138139E-09   0.94661545E-12   0.20140782E-02   0.19294429E-19   0.79118635E+00   0.12739544E-02   0.20552561E+00   0.11960950E-13   0.58266992E-14   0.75338198E-20   0.35163801E-23   0.84944989E-22   0.24403648E-23   0.59159098E-09   0.00000000E+00   0.19663793E-22   0.11156683E-23   0.10384977E-14   0.12238148E-14   0.44709946E-22   0.53485458E+03   0.95303073E+03   0.15674168E+00   0.24193486E+05   0.59757855E+06   0.27364239E-04  -0.12721970E-01   0.14837497E+03
  0.40002802E+00   0.61454271E-09   0.10183029E-11   0.21134174E-02   0.23640579E-19   0.79111199E+00   0.13375033E-02   0.20543709E+00   0.12358396E-13   0.59922777E-14   0.42870374E-20   0.12559679E-23   0.19310137E-21   0.37519154E-24   0.62364701E-09   0.00000000E+00   0.17243856E-22   0.10811699E-23   0.10950460E-14   0.12898419E-14   0.37906477E-22   0.54707312E+03   0.96424857E+03   0.15323799E+00   0.24194210E+05   0.61238828E+06   0.30402814E-04  -0.14295613E-01   0.15577488E+03
  0.40002972E+00   0.64773842E-09   0.10958428E-11   0.22133811E-02   0.27629754E-19   0.79103721E+00   0.14015109E-02   0.20534789E+00   0.12754451E-13   0.61561923E-14   0.23938867E-20   0.10512369E-22   0.12374737E-21   0.00000000E+00   0.65589811E-09   0.00000000E+00   0.16591877E-22   0.46446895E-24   0.11511977E-14   0.13553475E-14   0.41216662E-22   0.55939142E+03   0.97537233E+03   0.14985077E+00   0.24193347E+05   0.62731824E+06   0.33617327E-04  -0.15984559E-01   0.16322555E+03
  0.40003147E+00   0.68099580E-09   0.11800384E-11   0.23140234E-02   0.31463210E-19   0.79096199E+00   0.14660101E-02   0.20525797E+00   0.13149393E-13   0.63186650E-14   0.13524348E-20   0.42030785E-23   0.13629969E-22   0.00000000E+00   0.68834878E-09   0.00000000E+00   0.15909080E-22   0.15957305E-23   0.12070689E-14   0.14204641E-14   0.43575409E-22   0.57181530E+03   0.98641493E+03   0.14659161E+00   0.24194004E+05   0.64237568E+06   0.37065080E-04  -0.17819099E-01   0.17073015E+03
  0.40003325E+00   0.71432354E-09   0.12717770E-11   0.24153641E-02   0.35263345E-19   0.79088631E+00   0.15310142E-02   0.20516731E+00   0.13543515E-13   0.64798478E-14   0.76359211E-21   0.12215083E-22   0.17945987E-21   0.00000000E+00   0.72098737E-09   0.00000000E+00   0.12156607E-22   0.17741081E-23   0.12626905E-14   0.14852316E-14   0.45927393E-22   0.58434745E+03   0.99738564E+03   0.14343591E+00   0.24193224E+05   0.65756398E+06   0.40700298E-04  -0.19780603E-01   0.17828996E+03
  0.40003508E+00   0.74772349E-09   0.13720561E-11   0.25174106E-02   0.39175557E-19   0.79081015E+00   0.15965300E-02   0.20507590E+00   0.13937092E-13   0.66398615E-14   0.44466826E-21   0.18315442E-22   0.81582625E-22   0.00000000E+00   0.75379831E-09   0.00000000E+00   0.13900578E-22   0.17099566E-23   0.13180709E-14   0.15496628E-14   0.47622496E-22   0.59698952E+03   0.10082922E+04   0.14039479E+00   0.24193819E+05   0.67288522E+06   0.44586375E-04  -0.21903092E-01   0.18590562E+03
  0.40003696E+00   0.78121497E-09   0.14820427E-11   0.26201999E-02   0.43211744E-19   0.79073351E+00   0.16625807E-02   0.20498371E+00   0.14330352E-13   0.67988570E-14   0.24780535E-21   0.64495893E-22   0.11348713E-20   0.00000000E+00   0.78678298E-09   0.23519537E-25   0.91116452E-23   0.80867991E-24   0.13732263E-14   0.16137803E-14   0.50789448E-22   0.60974577E+03   0.10191441E+04   0.13744662E+00   0.24193112E+05   0.68834471E+06   0.48672528E-04  -0.24165281E-01   0.19357930E+03
  0.40003889E+00   0.81482625E-09   0.16030828E-11   0.27237797E-02   0.47428415E-19   0.79065633E+00   0.17291951E-02   0.20489069E+00   0.14723491E-13   0.69569873E-14   0.15364081E-21   0.45078176E-22   0.99843048E-21   0.00000000E+00   0.81994755E-09   0.00000000E+00   0.79714159E-23   0.16607553E-23   0.14281498E-14   0.16775827E-14   0.32585450E-22   0.62262134E+03   0.10299513E+04   0.13460038E+00   0.24193657E+05   0.70394893E+06   0.53028455E-04  -0.26605307E-01   0.20131370E+03
  0.40004086E+00   0.84856951E-09   0.17366879E-11   0.28281672E-02   0.51842617E-19   0.79057861E+00   0.17963852E-02   0.20479684E+00   0.15116713E-13   0.71143540E-14   0.93716711E-22   0.83422793E-22   0.12316268E-20   0.00000000E+00   0.85328234E-09   0.00000000E+00   0.11077626E-22   0.94510741E-24   0.14828123E-14   0.17410399E-14   0.37423830E-22   0.63561866E+03   0.10407206E+04   0.13183768E+00   0.24193013E+05   0.71970094E+06   0.57598156E-04  -0.29199005E-01   0.20910988E+03
  0.40004288E+00   0.88244593E-09   0.18845782E-11   0.29333689E-02   0.56474851E-19   0.79050034E+00   0.18641572E-02   0.20470213E+00   0.15510212E-13   0.72710369E-14   0.58205438E-22   0.22533552E-21   0.38923767E-20   0.00000000E+00   0.88677830E-09   0.00000000E+00   0.11213185E-22   0.95828022E-24   0.15372455E-14   0.18041832E-14   0.54685738E-22   0.64873925E+03   0.10514581E+04   0.12916719E+00   0.24193509E+05   0.73560272E+06   0.62457392E-04  -0.31988514E-01   0.21696835E+03
  0.40004495E+00   0.91646803E-09   0.20487769E-11   0.30394233E-02   0.61340845E-19   0.79042150E+00   0.19325348E-02   0.20460654E+00   0.15904152E-13   0.74271494E-14   0.36771139E-22   0.69056733E-21   0.12824294E-19   0.00000000E+00   0.92045019E-09   0.42875142E-24   0.11355912E-22   0.11490790E-23   0.15915609E-14   0.18671317E-14   0.69866581E-22   0.66198739E+03   0.10621717E+04   0.12657245E+00   0.24192921E+05   0.75165973E+06   0.67545379E-04  -0.34946986E-01   0.22489125E+03
  0.40004708E+00   0.95065028E-09   0.22316275E-11   0.31463735E-02   0.66455242E-19   0.79034206E+00   0.20015443E-02   0.20451002E+00   0.16298681E-13   0.75828034E-14   0.23632644E-22   0.17360235E-20   0.33826383E-19   0.00000000E+00   0.95431667E-09   0.69229310E-25   0.13363964E-22   0.60534756E-24   0.16458505E-14   0.19299871E-14   0.66582100E-22   0.67536777E+03   0.10728694E+04   0.12406054E+00   0.24193378E+05   0.76787791E+06   0.72944100E-04  -0.38120955E-01   0.23288092E+03
  0.40004925E+00   0.98499281E-09   0.24357871E-11   0.32542300E-02   0.71868443E-19   0.79026200E+00   0.20711939E-02   0.20441258E+00   0.16693952E-13   0.77380638E-14   0.15455092E-22   0.40313829E-20   0.82068616E-19   0.00000000E+00   0.98837477E-09   0.00000000E+00   0.20706313E-22   0.71884558E-24   0.17001145E-14   0.19927523E-14   0.83138728E-22   0.68888214E+03   0.10835563E+04   0.12161750E+00   0.24192838E+05   0.78425961E+06   0.78587697E-04  -0.41480578E-01   0.24093798E+03
  0.40005148E+00   0.10194994E-08   0.26643312E-11   0.33630046E-02   0.77644637E-19   0.79018132E+00   0.21414927E-02   0.20431419E+00   0.17090105E-13   0.78929923E-14   0.10286475E-22   0.88201562E-20   0.18660573E-18   0.00000000E+00   0.10226201E-08   0.83269380E-25   0.17035462E-22   0.19471985E-23   0.17543261E-14   0.20554015E-14   0.79629877E-22   0.70253245E+03   0.10942378E+04   0.11925006E+00   0.24193257E+05   0.80080741E+06   0.84564162E-04  -0.45076665E-01   0.24906313E+03
  0.40005377E+00   0.10541881E-08   0.29208855E-11   0.34727361E-02   0.83892698E-19   0.79009998E+00   0.22124643E-02   0.20421481E+00   0.17487268E-13   0.80476783E-14   0.69693017E-23   0.17862859E-19   0.39303027E-18   0.00000000E+00   0.10570636E-08   0.23720117E-24   0.14370225E-22   0.12526595E-23   0.18084960E-14   0.21179488E-14   0.67184881E-22   0.71632292E+03   0.11049207E+04   0.11694551E+00   0.24192761E+05   0.81752674E+06   0.90803169E-04  -0.48876743E-01   0.25725841E+03
  0.40005611E+00   0.10890709E-08   0.32096592E-11   0.35834585E-02   0.90753672E-19   0.79001798E+00   0.22841298E-02   0.20411443E+00   0.17885560E-13   0.82021993E-14   0.48090691E-23   0.33544867E-19   0.76681187E-18   0.00000000E+00   0.10917171E-08   0.14126298E-24   0.12224339E-22   0.58321277E-24   0.18626652E-14   0.21804388E-14   0.89823858E-22   0.73025730E+03   0.11156115E+04   0.11470952E+00   0.24193147E+05   0.83442251E+06   0.97398673E-04  -0.52936174E-01   0.26552556E+03
  0.40005852E+00   0.11241437E-08   0.35354892E-11   0.36951779E-02   0.98423106E-19   0.78993529E+00   0.23564950E-02   0.20401303E+00   0.18285094E-13   0.83565974E-14   0.33820438E-23   0.58483577E-19   0.13878720E-17   0.00000000E+00   0.11265791E-08   0.13349646E-25   0.23997280E-22   0.14358525E-23   0.19168564E-14   0.22428947E-14   0.89634826E-22   0.74433696E+03   0.11263146E+04   0.11253131E+00   0.24192689E+05   0.85149667E+06   0.10427558E-03  -0.57219468E-01   0.27386491E+03
  0.40006098E+00   0.11594138E-08   0.39040668E-11   0.38079181E-02   0.10708569E-18   0.78985191E+00   0.24295753E-02   0.20391059E+00   0.18685981E-13   0.85109313E-14   0.24248940E-23   0.94971676E-19   0.23357880E-17   0.00000000E+00   0.11616551E-08   0.00000000E+00   0.17448801E-22   0.16826121E-24   0.19710782E-14   0.23053270E-14   0.85891604E-22   0.75856477E+03   0.11370354E+04   0.11041607E+00   0.24193045E+05   0.86875302E+06   0.11153379E-03  -0.61786588E-01   0.28227765E+03
  0.40006351E+00   0.11948985E-08   0.43221002E-11   0.39217160E-02   0.11691839E-18   0.78976781E+00   0.25033932E-02   0.20380708E+00   0.19088321E-13   0.86652701E-14   0.17719138E-23   0.14474979E-18   0.36828569E-17   0.00000000E+00   0.11969551E-08   0.22044641E-24   0.18462846E-22   0.19157472E-23   0.20253266E-14   0.23677337E-14   0.83591830E-22   0.77294466E+03   0.11477801E+04   0.10835385E+00   0.24192623E+05   0.88619679E+06   0.11909409E-03  -0.66599503E-01   0.29076557E+03
  0.40006609E+00   0.12306024E-08   0.47973908E-11   0.40365903E-02   0.12807525E-18   0.78968298E+00   0.25779612E-02   0.20370247E+00   0.19492209E-13   0.88196601E-14   0.13190187E-23   0.20884093E-18   0.54889323E-17   0.00000000E+00   0.12324828E-08   0.26950755E-24   0.31534631E-22   0.10926758E-23   0.20796135E-14   0.24301270E-14   0.11096606E-21   0.78747900E+03   0.11585537E+04   0.10634934E+00   0.24192951E+05   0.90383126E+06   0.12706188E-03  -0.71722702E-01   0.29932955E+03
  0.40006875E+00   0.12665209E-08   0.53390664E-11   0.41525512E-02   0.14069977E-18   0.78959740E+00   0.26532873E-02   0.20359676E+00   0.19897732E-13   0.89741355E-14   0.99931931E-24   0.28777622E-18   0.78020589E-17   0.00000000E+00   0.12682414E-08   0.21448470E-24   0.34288495E-22   0.32809430E-23   0.21339813E-14   0.24925502E-14   0.12067711E-21   0.80216938E+03   0.11693606E+04   0.10439400E+00   0.24192559E+05   0.92165875E+06   0.13535379E-03  -0.77115337E-01   0.30797001E+03
  0.40007146E+00   0.13026635E-08   0.59579753E-11   0.42696327E-02   0.15490824E-18   0.78951105E+00   0.27293922E-02   0.20348992E+00   0.20304978E-13   0.91287527E-14   0.76977642E-24   0.38165508E-18   0.10660911E-16   0.00000000E+00   0.13042456E-08   0.18937039E-24   0.41305109E-22   0.34108159E-23   0.21884694E-14   0.25550462E-14   0.94610376E-22   0.81701944E+03   0.11802066E+04   0.10249185E+00   0.24192863E+05   0.93968414E+06   0.14408093E-03  -0.82846777E-01   0.31668851E+03
  0.40007425E+00   0.13390445E-08   0.66669124E-11   0.43878661E-02   0.17078739E-18   0.78942392E+00   0.28062949E-02   0.20338192E+00   0.20714029E-13   0.92835625E-14   0.60220124E-24   0.49039391E-18   0.14095891E-16   0.00000000E+00   0.13405025E-08   0.14832698E-24   0.62125077E-22   0.27804535E-23   0.22430582E-14   0.26175960E-14   0.94448066E-22   0.83203250E+03   0.11910975E+04   0.10063506E+00   0.24192500E+05   0.95791183E+06   0.15315624E-03  -0.88873748E-01   0.32548644E+03
  0.40007711E+00   0.13756653E-08   0.74808381E-11   0.45072573E-02   0.18843123E-18   0.78933599E+00   0.28840012E-02   0.20327275E+00   0.21124953E-13   0.94385876E-14   0.47805243E-24   0.61358552E-18   0.18130011E-16   0.35407398E-30   0.13770052E-08   0.20611789E-24   0.92813646E-22   0.25196247E-23   0.22977080E-14   0.26801572E-14   0.12916142E-21   0.84720972E+03   0.12020372E+04   0.98827497E-01   0.24192779E+05   0.97634394E+06   0.16269571E-03  -0.95269995E-01   0.33436391E+03
  0.40008003E+00   0.14125337E-08   0.84175991E-11   0.46278341E-02   0.20791070E-18   0.78924725E+00   0.29625279E-02   0.20316238E+00   0.21537824E-13   0.95938700E-14   0.38477158E-24   0.75080631E-18   0.22781469E-16   0.37857239E-30   0.14137636E-08   0.55745991E-25   0.13654808E-21   0.35475144E-23   0.23524464E-14   0.27427583E-14   0.12518099E-21   0.86255406E+03   0.12130311E+04   0.97062221E-01   0.24192443E+05   0.99498466E+06   0.17260916E-03  -0.10199001E+00   0.34332208E+03
  0.40008304E+00   0.14496586E-08   0.94984067E-11   0.47496297E-02   0.22928661E-18   0.78915767E+00   0.30418952E-02   0.20305080E+00   0.21952713E-13   0.97494551E-14   0.31385427E-24   0.90153667E-18   0.28064428E-16   0.17393796E-29   0.14507926E-08   0.23237771E-24   0.21867522E-21   0.51368322E-23   0.24073171E-14   0.28054451E-14   0.11840663E-21   0.87806893E+03   0.12240851E+04   0.95342418E-01   0.24192702E+05   0.10138388E+07   0.18301764E-03  -0.10911241E+00   0.35236231E+03
  0.40008611E+00   0.14870414E-08   0.10748262E-10   0.48726557E-02   0.25264096E-18   0.78906725E+00   0.31221113E-02   0.20293798E+00   0.22369677E-13   0.99053649E-14   0.25944141E-24   0.10651578E-17   0.33989995E-16   0.90731201E-30   0.14880913E-08   0.81822904E-25   0.34480513E-21   0.40365776E-23   0.24623077E-14   0.28682037E-14   0.12403523E-21   0.89375582E+03   0.12352035E+04   0.93662036E-01   0.24192389E+05   0.10329087E+07   0.19382764E-03  -0.11658923E+00   0.36148488E+03
  0.40008926E+00   0.15246905E-08   0.12196970E-10   0.49969330E-02   0.27800491E-18   0.78897597E+00   0.32031895E-02   0.20282390E+00   0.22788772E-13   0.10061629E-13   0.21744752E-24   0.12412339E-17   0.40566502E-16   0.20603383E-29   0.15256619E-08   0.49351813E-24   0.56152120E-21   0.22158451E-23   0.25173990E-14   0.29310137E-14   0.14423270E-21   0.90961702E+03   0.12463913E+04   0.92024021E-01   0.24192627E+05   0.10521980E+07   0.20516501E-03  -0.12450376E+00   0.37069051E+03
  0.40009250E+00   0.15626178E-08   0.13880162E-10   0.51224937E-02   0.30543024E-18   0.78888381E+00   0.32851489E-02   0.20270854E+00   0.23210061E-13   0.10218283E-13   0.18502610E-24   0.14289794E-17   0.47800433E-16   0.27973503E-29   0.15635149E-08   0.26897798E-24   0.91393963E-21   0.28479298E-23   0.25726034E-14   0.29938881E-14   0.17872447E-21   0.92565567E+03   0.12576542E+04   0.90422780E-01   0.24192337E+05   0.10717112E+07   0.21693381E-03  -0.13280627E+00   0.37998036E+03
  0.40009581E+00   0.16008251E-08   0.15840110E-10   0.52493545E-02   0.33495182E-18   0.78879076E+00   0.33680001E-02   0.20259188E+00   0.23633590E-13   0.10375351E-13   0.16027097E-24   0.16280955E-17   0.55696482E-16   0.32472853E-29   0.16016548E-08   0.27085967E-24   0.14943422E-20   0.17033663E-23   0.26279364E-14   0.30568416E-14   0.15573700E-21   0.94187358E+03   0.12689970E+04   0.88860980E-01   0.24192556E+05   0.10914514E+07   0.22926396E-03  -0.14158448E+00   0.38935486E+03
  0.40009920E+00   0.16393163E-08   0.18127271E-10   0.53775334E-02   0.36662677E-18   0.78869680E+00   0.34517546E-02   0.20247391E+00   0.24059404E-13   0.10532852E-13   0.14193665E-24   0.18379761E-17   0.64259673E-16   0.18655895E-29   0.16400855E-08   0.18333245E-25   0.24381579E-20   0.32138056E-24   0.26834008E-14   0.31198760E-14   0.17547588E-21   0.95827265E+03   0.12804249E+04   0.87333717E-01   0.24192285E+05   0.11114214E+07   0.24205737E-03  -0.15078686E+00   0.39881443E+03
